,name,gae,cuda,seed,gamma,device,gym_id,ent_coef,exp_name,kle_stop,norm_adv,norm_obs,obs_clip,rew_clip,value_lr,anneal_lr,clip_coef,policy_lr,prod_mode,target_kl,batch_size,clip_vloss,gae_lambda,kle_rollback,norm_returns,wandb_entity,weights_init,capture_video,max_grad_norm,update_epochs,episode_length,minibatch_size,pol_layer_norm,total_timesteps,features_turned_on,wandb_project_name,torch_deterministic,invalid_action_penalty,losses/entropy,charts/policy_learning_rate,stats/num_invalid_action_ownership,video.0,losses/value_loss,stats/num_invalid_action_busy_unit,charts/value_learning_rate,evals/charts/episode_reward,stats/num_invalid_action_null,evals/stats/num_invalid_action_null,evals/stats/num_invalid_action_ownership,_wandb,_timestamp,charts/episode_reward,charts/episode_reward/ResourceGatherRewardFunction,losses/approx_kl,losses/policy_loss,evals/stats/num_invalid_action_busy_unit,_step,_runtime,global_step,first_learned_timestep,first_reward_timestep,evals_first_learned_timestep,evals_first_reward_timestep
0,MicrortsMining24x24F9-v0__CO-IAM__3__1670997619,True,True,3,0.99,cuda:0,MicrortsMining24x24F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.3651861846446991,0,0.0,"{'path': 'media/videos/video.0_19_f4d1021e18a70ac529ad.mp4', 'size': 33566, '_type': 'video-file', 'sha256': 'f4d1021e18a70ac529ad8557e8f7705605a0716cf13275631aa1cf20881004dc'}",5.376496315002441,0.0,0,1.399999976158142,0.0,197.45,0.6199999995529651,{'runtime': 11939},1671009558.681756,36.3,400.0,0.003940134652657435,0.01954445242881775,0.0,5398,11937,1001472,0.173832,0.0008,0.0,0.0008
1,MicrortsMining24x24F9-v0__CO-IAM__4__1670996153,True,True,4,0.99,cuda:1,MicrortsMining24x24F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.3650168478488922,0,0.0,"{'path': 'media/videos/video.0_19_f7c6bd3f0de7ab4bf895.mp4', 'size': 39751, '_type': 'video-file', 'sha256': 'f7c6bd3f0de7ab4bf895a3760d8c7e09d373aa7ccdb53ee9d8b229941f085548'}",6.4740071296691895,0.0,0,33.0,12.6,131.12000122070313,0.0,{'runtime': 11589},1671007742.884307,33.9,340.0,0.01438820434268564,0.009080041199922562,0.0,5398,11588,1001472,0.0,0.0002,0.0,0.0002
2,MicrortsMining16x16F9-v0__CO-IAM__3__1670986670,True,True,3,0.99,cuda:0,MicrortsMining16x16F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.3351317048072815,0,0.0,"{'_type': 'video-file', 'sha256': '458c5346ad314fda1c0e13e66c477d40f97ecfc3460de6867797c6d28764d16c', 'path': 'media/videos/video.0_19_458c5346ad314fda1c0e.mp4', 'size': 37367}",5.902651309967041,0.0,0,30.399999618530273,43.2,133.98999938964843,0.0,{'runtime': 10928},1670997598.8595023,39.3,400.0,0.009005994466133416,0.04713743180036545,0.0,5398,10926,1001472,0.057096,0.0008,0.0,0.0008
3,MicrortsMining16x16F9-v0__CO-IAM__4__1670985498,True,True,4,0.99,cuda:1,MicrortsMining16x16F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.4578876197338104,0,0.0,"{'path': 'media/videos/video.0_19_fff69680bd8f7a56d57f.mp4', 'size': 37402, '_type': 'video-file', 'sha256': 'fff69680bd8f7a56d57f0b1edfb49991799f2362ff48f5a6517d69f782e1b2d0'}",5.247108459472656,0.0,0,33.0,9.3,133.51000061035157,0.0,{'runtime': 10620},1670996123.2802217,39.3,400.0,0.008733627706533298,0.031850915402173996,0.0,5398,10622,1001472,0.058744,0.0002,0.0,0.0002
4,MicrortsMining10x10F9-v0__CO-IAM__3__1670976347,True,True,3,0.99,cuda:0,MicrortsMining10x10F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.3786257803440094,0,0.0,"{'path': 'media/videos/video.0_19_1d41781dba6aa241059e.mp4', 'size': 34473, '_type': 'video-file', 'sha256': '1d41781dba6aa241059e794915d40e3c16ee3d5eb13323fcbb93b9e3c375f4d8'}",6.172201156616211,0.0,0,33.0,35.3,129.73999938964843,0.020000000298023225,{'runtime': 10300},1670986648.1570935,39.3,400.0,0.006760485115228221,0.0697082057595253,0.0,5398,10299,1001472,0.0528,0.0008,0.0,0.0008
5,MicrortsMining10x10F9-v0__CO-IAM__4__1670975147,True,True,4,0.99,cuda:1,MicrortsMining10x10F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.33559080958366394,0,0.0,"{'path': 'media/videos/video.0_19_d03c4edfadc0d71fbc1c.mp4', 'size': 34975, '_type': 'video-file', 'sha256': 'd03c4edfadc0d71fbc1c4bd8258ace195c6ff69404da7be505cea0ebc2e83955'}",4.901001930236816,0.0,0,33.0,6.7,133.9,0.010000000149011612,{'runtime': 10319},1670985467.248376,39.3,400.0,0.011361750465584918,0.0008202716708183289,0.0,5398,10318,1001472,0.047704,0.0002,0.0,0.0002
6,MicrortsMining4x4F9-v0__CO-IAM__3__1670966851,True,True,3,0.99,cuda:0,MicrortsMining4x4F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.28691282868385315,0,0.0,"{'path': 'media/videos/video.0_19_266141b95fbad80774d6.mp4', 'size': 25283, '_type': 'video-file', 'sha256': '266141b95fbad80774d64cd06c01bf1e37a59820f11e603d468d193190a22a15'}",5.948136329650879,0.0,0,18.399999618530273,0.0,0.0,148.69000091552735,{'runtime': 9472},1670976323.5666952,39.3,400.0,-0.00441530593088828,0.05992187559604645,0.0,5398,9470,1001472,0.043408,0.0004,0.0,0.0004
7,MicrortsMining4x4F9-v0__CO-IAM__4__1670966049,True,True,4,0.99,cuda:1,MicrortsMining4x4F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.2746303081512451,0,0.0,"{'path': 'media/videos/video.0_19_a06c840321c38685e1d6.mp4', 'size': 36249, '_type': 'video-file', 'sha256': 'a06c840321c38685e1d64ea9a1e38d131bad47d0167e00f971f9947a061218b6'}",5.321020603179932,1.1,0,33.0,0.0,0.020000000298023225,132.71000213623046,{'runtime': 9072},1670975122.0492034,39.3,400.0,0.018125091458205133,0.025953933596611023,0.0,5398,9071,1001472,0.035816,0.0002,0.0,0.0002
8,MicrortsMining24x24F9-v0__CO-IAM__1__1670954954,True,True,1,0.99,cuda:0,MicrortsMining24x24F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.3798672556877136,0,0.0,"{'path': 'media/videos/video.0_19_9ef57fa4494a31cb7b78.mp4', 'size': 40873, '_type': 'video-file', 'sha256': '9ef57fa4494a31cb7b780e152b1ba7b9e4fe4f04fcc8d03d270394bd97887ecc'}",5.014307975769043,0.0,0,33.0,0.3,133.31000061035155,0.0,{'runtime': 11875},1670966830.0910428,39.3,400.0,0.008185471425531433,0.01900620013475418,0.0,5398,11874,1001472,0.138216,0.0002,0.0,0.0002
9,MicrortsMining24x24F9-v0__CO-IAM__2__1670954248,True,True,2,0.99,cuda:1,MicrortsMining24x24F9-v0,0.0,CO-IAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,0.36138081550598145,0,0.0,"{'path': 'media/videos/video.0_19_ab6921ce40c56550d117.mp4', 'size': 40447, '_type': 'video-file', 'sha256': 'ab6921ce40c56550d117fa6034ca5633b6c78e59d002c5d2196a266dc72b14ac'}",4.655180931091309,7.0,0,33.0,77.5,134.54000091552734,0.0,{'runtime': 11779},1670966027.963524,39.3,400.0,-0.005630629684310407,-0.023146936669945717,0.0,5398,11777,1001472,0.091912,0.0008,0.0,0.0008
